Time	Gx	Gy	Gz	Ax	Ay	Az
24410	-19.68	8.39	-48.49	-0.00	-0.03	0.15
24429	-10.94	5.75	-40.41	-0.01	-0.01	0.20
24448	-6.91	3.07	-35.78	-0.02	0.01	0.25
24467	-0.26	-2.17	-26.08	-0.01	0.03	0.26
24485	3.36	-6.39	-16.54	-0.02	0.05	0.31
24505	6.01	-12.01	-6.97	-0.04	0.05	0.39
24523	10.38	-17.47	1.88	-0.01	0.04	0.47
24541	14.18	-23.48	8.12	-0.00	0.09	0.55
24559	15.44	-27.54	10.88	0.02	0.04	0.65
24578	21.97	-29.13	15.32	0.04	0.05	0.70
24595	27.30	-29.97	18.57	0.08	0.11	0.78
24613	26.25	-28.84	18.40	0.11	0.16	0.88
24630	24.73	-27.45	17.64	0.13	0.13	0.97
24650	24.63	-22.95	17.47	0.15	0.14	1.02
24668	22.19	-16.17	18.55	0.18	0.21	1.12
24686	13.17	-11.15	16.24	0.13	0.22	1.21
24705	7.20	-10.28	10.33	0.15	0.16	1.27
24722	5.98	-9.08	7.46	0.21	0.17	1.31
24740	3.11	-2.38	3.52	0.23	0.18	1.31
24758	-2.43	8.27	1.14	0.20	0.19	1.28
24776	-4.88	15.29	-1.75	0.21	0.10	1.43
24794	-0.12	18.08	-4.96	0.11	0.13	1.49
24813	0.37	14.92	-5.02	0.06	0.20	1.49
24831	-5.04	4.00	-2.56	0.10	0.21	1.57
24849	-11.63	-1.94	0.18	0.21	0.27	1.72
24867	-24.58	-1.75	4.23	0.17	0.29	1.73
24885	-30.82	-3.80	6.24	0.15	0.18	1.77
24903	-33.74	-10.64	8.21	0.18	0.10	1.77
24922	-21.84	-10.97	6.50	0.24	-0.00	1.69
24940	-2.85	-5.57	2.50	0.22	-0.03	1.62
24959	16.28	-3.71	-1.36	0.18	-0.02	1.58
24977	32.65	-3.34	-3.57	0.21	0.03	1.54
24996	38.27	-1.16	-4.35	0.23	0.07	1.52
25014	42.83	5.60	-4.93	0.23	0.14	1.49
25032	38.30	11.84	-4.56	0.20	0.23	1.46
25049	24.38	15.53	-3.02	0.19	0.29	1.43
25067	15.21	16.98	-2.24	0.19	0.31	1.42
25084	-3.16	21.38	-1.82	0.18	0.29	1.42
25102	-15.73	22.06	-0.90	0.11	0.21	1.38
25121	-19.55	17.99	0.02	0.07	0.14	1.32
25138	-18.60	15.27	0.41	0.06	0.09	1.26
25156	-12.88	8.97	1.34	0.05	0.07	1.23
25174	-3.22	2.01	3.88	0.04	0.04	1.17
25192	8.56	-3.30	7.89	0.06	0.03	1.13
25210	14.71	-4.62	10.03	0.05	0.05	1.08
25227	25.38	-7.60	15.09	0.03	0.07	1.05
25245	32.46	-13.05	21.48	0.01	0.10	1.00
25262	35.72	-16.37	27.48	0.05	0.13	0.93
25280	36.12	-16.02	29.66	0.06	0.15	0.90
25298	34.38	-13.29	32.97	0.07	0.18	0.84
25315	29.08	-9.35	34.48	0.06	0.21	0.79
25334	20.83	-4.46	32.79	0.08	0.24	0.72
25351	15.23	-0.67	30.72	0.09	0.25	0.69
25369	3.66	6.94	24.98	0.08	0.25	0.63
25386	-8.41	11.80	16.34	0.06	0.25	0.57
25405	-19.52	14.43	4.85	0.06	0.23	0.51
25423	-24.40	17.38	-1.40	0.10	0.21	0.42
25442	-33.07	25.88	-13.43	0.11	0.20	0.37
25460	-40.80	36.61	-22.72	0.08	0.16	0.29
25478	-46.14	42.74	-29.53	0.05	0.11	0.22
25498	-47.68	44.85	-35.06	0.02	0.08	0.15
25516	-47.74	43.26	-38.68	0.00	0.05	0.09
25534	-47.71	43.12	-38.94	0.00	0.05	0.07
25552	-46.42	41.56	-36.65	-0.01	0.01	0.07
25571	-41.05	40.24	-32.58	-0.03	-0.02	0.08
